"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Pterothamnion.plumula","Pterothamnion plumula",144683,NA,"green","",338,FALSE,1,1,0.760007965829637,"RF, XGBOOST, GAM",338,14852,"run3_macrophytes",NA,NA,0.942980788274906,0.741333333333333,"TSS","TSS","Pterothamnion.plumula","macrophytes","RF,XGBOOST,GAM",3
"Ptilota.gunneri","Ptilota gunneri",144686,NA,"green","",182,FALSE,1,1,0.589363080329365,"RF, XGBOOST, GAM",182,9030,"run3_macrophytes",NA,NA,0.991583610188261,0.9548,"TSS","TSS","Ptilota.gunneri","macrophytes","RF,XGBOOST,GAM",3
"Ranunculus.aquatilis","Ranunculus aquatilis",416216,"common water-crowfoot; water crowfoot","yellow","Occurrence predictions mostly in Finland due to input data. Probably does not reflect the true geographic distribution.",466,FALSE,1,1,0.875198319488102,"RF, XGBOOST, GAM",466,16443,"run3_macrophytes",NA,NA,0.8790709991271,0.668266666666667,"TSS","TSS","Ranunculus.aquatilis","macrophytes","RF,XGBOOST,GAM",3
"Ranunculus.peltatus.peltatus","Ranunculus peltatus peltatus",NA,NA,"green","",482,TRUE,1,1,0.901725023322635,"RF, XGBOOST, GAM",482,16373,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","FI",0.695595419847328,0.442733333333333,"TSS","TSS","Ranunculus.peltatus.pelta","macrophytes","XGBOOST,GAM",2
"Ranunculus.reptans","Ranunculus reptans",NA,NA,"green","",331,FALSE,1,1,0.841506194737222,"RF, XGBOOST, GAM",331,16148,"run3_macrophytes",NA,NA,0.92282390468149,0.791133333333333,"TSS","TSS","Ranunculus.reptans","macrophytes","RF,XGBOOST,GAM",3
"Rhizoclonium.riparium","Rhizoclonium riparium",145075,NA,"green","",153,FALSE,1,1,0.623605367475086,"RF, XGBOOST, GAM",153,7575,"run3_macrophytes",NA,NA,0.955809645480677,0.849733333333333,"TSS","TSS","Rhizoclonium.riparium","macrophytes","RF,XGBOOST,GAM",3
"Rhodochorton.purpureum","Rhodochorton purpureum",144404,NA,"green","",454,FALSE,1,1,0.948581374751197,"RF, XGBOOST, GAM",454,16399,"run3_macrophytes",NA,NA,0.748903779147682,0.445666666666667,"TSS","TSS","Rhodochorton.purpureum","macrophytes","XGBOOST,GAM",2
"Rhodomela.confervoides","Rhodomela confervoides",144854,NA,"green","",1367,FALSE,1,1,1.09722601413727,"RF, XGBOOST, GAM",1367,15630,"run3_macrophytes",NA,NA,0.815309386710538,0.596933333333333,"TSS","TSS","Rhodomela.confervoides","macrophytes","RF,XGBOOST,GAM",3
"Rhodophyllis.divaricata","Rhodophyllis divaricata",145617,NA,"green","",164,FALSE,1,1,0.566620468894641,"RF, XGBOOST, GAM",164,8127,"run3_macrophytes",NA,NA,0.994707692307692,0.937933333333333,"TSS","TSS","Rhodophyllis.divaricata","macrophytes","RF,XGBOOST,GAM",3
"Rubrointrusa.membranacea","Rubrointrusa membranacea",495808,NA,"green","",272,FALSE,1,1,0.706684591107898,"RF, XGBOOST, GAM",272,13141,"run3_macrophytes",NA,NA,0.961111111111111,0.9206,"TSS","TSS","Rubrointrusa.membranacea","macrophytes","RF,XGBOOST,GAM",3
