"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Phyllodoce.mucosa","Phyllodoce mucosa",334512,NA,"green","",504,FALSE,1,1,1.14801449974378,"RF, XGBOOST, GAM",504,22335,"run3_invertebrates",NA,NA,0.785217890492877,0.471,"TSS","TSS","Phyllodoce.mucosa","invertebrates","RF,XGBOOST,GAM",3
"Phyllodoce.rosea","Phyllodoce rosea",334514,NA,"yellow","Low number of positive cases (presences) in model training data.",77,FALSE,1,1,0.784650867184003,"RF, XGBOOST, GAM",77,20805,"run3_invertebrates",NA,NA,0.774573419850997,0.417533333333333,"TSS","TSS","Phyllodoce.rosea","invertebrates","RF,GAM",2
"Pisione.remota","Pisione remota",130707,NA,"yellow","Low number of positive cases (presences) in model training data.",35,FALSE,1,1,0.766880590518316,"RF, XGBOOST, GAM",35,16167,"run3_invertebrates",NA,NA,0.90139189607176,0.4294,"TSS","TSS","Pisione.remota","invertebrates","RF,GAM,XGBOOST",3
"Platynereis.dumerilii","Platynereis dumerilii",130417,"comb-toothed nereid; Dumeril's clam worm","green","",423,FALSE,1,1,1.06711403608322,"RF, XGBOOST, GAM",423,21081,"run3_invertebrates",NA,NA,0.910426944971537,0.721266666666667,"TSS","TSS","Platynereis.dumerilii","invertebrates","RF,XGBOOST,GAM",3
"Poecilochaetus.serpens","Poecilochaetus serpens",130711,NA,"green","",513,FALSE,1,1,1.01021868083212,"RF, XGBOOST, GAM",513,23269,"run3_invertebrates",NA,NA,0.860892603084934,0.684733333333333,"TSS","TSS","Poecilochaetus.serpens","invertebrates","RF,XGBOOST,GAM",3
"Polycirrus.medusa","Polycirrus medusa",131531,NA,"green","",264,FALSE,1,1,0.954626068605317,"RF, XGBOOST, GAM",264,19928,"run3_invertebrates",NA,NA,0.854934724365468,0.6622,"TSS","TSS","Polycirrus.medusa","invertebrates","RF,XGBOOST,GAM",3
"Polycirrus.norvegicus","Polycirrus norvegicus",196385,NA,"yellow","Low number of positive cases (presences) in model training data.",74,FALSE,1,1,0.813087255822288,"RF, XGBOOST, GAM",74,10999,"run3_invertebrates",NA,NA,0.847636363636364,0.477133333333333,"TSS","TSS","Polycirrus.norvegicus","invertebrates","RF,GAM",2
"Polycirrus.plumosus","Polycirrus plumosus",131534,NA,"yellow","Low number of positive cases (presences) in model training data.",71,FALSE,1,1,0.73445556945271,"RF, XGBOOST, GAM",71,7814,"run3_invertebrates",NA,NA,0.962727355817567,0.730533333333333,"TSS","TSS","Polycirrus.plumosus","invertebrates","RF,XGBOOST,GAM",3
"Polydora.cornuta","Polydora cornuta",131143,NA,"green","",1974,FALSE,1,1,1.36929103639391,"RF, XGBOOST, GAM",1974,23087,"run3_invertebrates",NA,NA,0.677858217978138,0.566733333333333,"TSS","TSS","Polydora.cornuta","invertebrates","RF,XGBOOST,GAM",3
"Polyphysia.crassa","Polyphysia crassa",130977,NA,"yellow","Low number of positive cases (presences) in model training data.",119,FALSE,1,1,0.875329052540991,"RF, XGBOOST, GAM",119,16747,"run3_invertebrates",NA,NA,0.976557678909127,0.788333333333333,"TSS","TSS","Polyphysia.crassa","invertebrates","RF,XGBOOST,GAM",3
